user_id,category,real_preference,total_tweets,real_tweets,fake_tweets,tweet_ids
user_1,light,0.95,9,8,1,920076504079486976	1021062803761836032	1062774100844630016	28418236442	744189957254701056	1056532601190658048	899728950225760263	582276172	834892178056966146
user_2,light,0.3292404815190233,6,1,5,1020333564561448960	1036928552166404096	533221452003409921	960906917840384000	899152903490990081	685533191160070145
user_3,light,0.7352309594448071,10,7,3,691619729484681216	856338177316896768	1041145987484594176	994972952042070016	964882303490109440	1017824330565210112	1020512167697641474	1036507865765167104	911212252572856321	904532197566230529
user_4,moderate,0.6990581350340845,14,9,5,987190740739674112	915970020706017281	950373898289328128	892331616227385344	948756660197167104	915038851558789120	942925297988591617	960864254218862594	948582570815565824	1036704568120369152	853583344147288072	1036718081702330368	1036478806456971264	1025674800390397952
user_5,light,0.25260891496720506,6,1,5,877673835604082689	301719830275436545	1036394249259020288	858255308845494272	1037018569295446016	950359201452146689
user_6,light,0.8512709842823706,6,5,1,984680346422657027	1074172015526010882	1005759923882549249	879864003589263360	850319368458260480	594081370118356993
user_7,moderate,0.7516028436837466,14,10,4,271736235553349632	904474716714434560	875262034702725121	1017506743637725186	1009109186758828033	858047648653336576	908390244558536705	793517107271000064	941404417592569858	999722710883160064	1032126897671421952	503755986319187968	869958280633888768	783437637281517568
user_8,moderate,0.24646276794956523,11,2,9,1013090038446358528	1019230005484613633	1037009670953684992	996158639193800704	277026525998616576	804717523329581057	396539412407799808	5072029921	314473851859918848	803429921745833984	870859720235433984
user_9,light,0.7511893069057081,5,3,2,980844823136624640	1021179634464043013	978751555850547201	811753958368825345	978281111997444096
user_10,light,0.2320170713008892,10,2,8,1025848918448525312	922606585100124160	1019482490807955456	778587124190679041	965604195574284288	1054277416879906817	1048030434075049986	1051112424135434245	844906106531037185	1036822018413473793
user_11,light,0.6625126730482892,5,3,2,1024046455982575617	987330901511032832	889615626326724608	954767733522022400	1036735756692279296
user_12,light,0.8183521312914539,5,4,1,860005458752421889	853318431579414528	1014789822664400896	922903427776212992	841307091629404161
user_13,light,0.15434696036200907,8,1,7,1070208508895870976	1016926811496767497	1036808973477990400	564632417273511936	831017017067053056	843116552907972608	1034631561621065728	940853234121441285
user_14,light,0.17258544714434956,1,0,1,1019925591003422720
user_15,light,0.2003879547798535,1,0,1,321981723996979200
